self.yaw: 0.15087074041366577
self.home: array('f', [-1.9287900924682617, -1.010053038597107, -3.4827675819396973])
apriltag bezier - count : 499,   delta_t : 5,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.21881771  -1.13756216 -13.10072231]
apriltag bezier - count : 499,   delta_t : 6,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.21639204  -1.12965739 -13.07774067]
apriltag bezier - count : 499,   delta_t : 7,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.2149229   -1.1236515  -13.06200218]
apriltag bezier - count : 499,   delta_t : 8,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.21444345  -1.1216048  -13.05674744]
apriltag bezier - count : 499,   delta_t : 9,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.21296453  -1.11546147 -13.04043484]
apriltag bezier - count : 499,   delta_t : 10,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.21178055  -1.10913968 -13.02528191]
apriltag bezier - count : 499,   delta_t : 11,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.21123028  -1.10270131 -13.01059914]
apriltag bezier - count : 499,   delta_t : 12,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.21052551  -1.09640169 -12.99579144]
apriltag bezier - count : 499,   delta_t : 13,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.21021962  -1.09431636 -12.99098301]
apriltag bezier - count : 499,   delta_t : 14,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20946884  -1.08045661 -12.95336342]
apriltag bezier - count : 499,   delta_t : 15,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20919394  -1.07743299 -12.94446373]
apriltag bezier - count : 499,   delta_t : 16,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20904016  -1.0735184  -12.93054008]
apriltag bezier - count : 499,   delta_t : 17,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20926452  -1.07246876 -12.926054  ]
apriltag bezier - count : 499,   delta_t : 18,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20961428  -1.06955492 -12.91286755]
apriltag bezier - count : 499,   delta_t : 19,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20972848  -1.06785321 -12.90419197]
apriltag bezier - count : 499,   delta_t : 20,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20987082  -1.06479681 -12.88152599]
apriltag bezier - count : 499,   delta_t : 21,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20997596  -1.06382799 -12.86832047]
apriltag bezier - count : 499,   delta_t : 22,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20971775  -1.06344008 -12.84936047]
apriltag bezier - count : 499,   delta_t : 23,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20952892  -1.06356645 -12.84017658]
apriltag bezier - count : 499,   delta_t : 24,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20938897  -1.06388533 -12.8309288 ]
apriltag bezier - count : 499,   delta_t : 25,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20927048  -1.06417072 -12.82595158]
apriltag bezier - count : 499,   delta_t : 26,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20898962  -1.06493068 -12.8160038 ]
apriltag bezier - count : 499,   delta_t : 27,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20898962  -1.06493068 -12.8160038 ]
apriltag bezier - count : 499,   delta_t : 28,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20800185  -1.06714749 -12.79630184]
apriltag bezier - count : 499,   delta_t : 29,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20760465  -1.0694536  -12.7760067 ]
apriltag bezier - count : 499,   delta_t : 30,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20719147  -1.07097828 -12.76581478]
apriltag bezier - count : 499,   delta_t : 31,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20692134  -1.07182133 -12.76077747]
apriltag bezier - count : 499,   delta_t : 32,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20683813  -1.07273507 -12.75596428]
apriltag bezier - count : 499,   delta_t : 33,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20653367  -1.07614279 -12.74027348]
apriltag bezier - count : 499,   delta_t : 34,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20584607  -1.08002734 -12.72461987]
apriltag bezier - count : 499,   delta_t : 35,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20514417  -1.08272159 -12.7142334 ]
apriltag bezier - count : 499,   delta_t : 36,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20427608  -1.08557796 -12.70299625]
apriltag bezier - count : 499,   delta_t : 37,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20344925  -1.08861029 -12.69194126]
apriltag bezier - count : 499,   delta_t : 38,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20210052  -1.09333098 -12.67594528]
apriltag bezier - count : 499,   delta_t : 39,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20163012  -1.09490812 -12.67061043]
apriltag bezier - count : 499,   delta_t : 40,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.20059943  -1.09821057 -12.65924931]
apriltag bezier - count : 499,   delta_t : 41,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.19850802  -1.10496867 -12.63684273]
apriltag bezier - count : 499,   delta_t : 42,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.19759274  -1.10833323 -12.62615681]
apriltag bezier - count : 499,   delta_t : 43,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.19664407  -1.11180794 -12.61468601]
apriltag bezier - count : 499,   delta_t : 44,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.19618869  -1.11355186 -12.60886669]
apriltag bezier - count : 499,   delta_t : 45,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.19525313  -1.11706734 -12.59733582]
apriltag bezier - count : 499,   delta_t : 46,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.19430518  -1.12061214 -12.58579063]
apriltag bezier - count : 499,   delta_t : 47,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.19161654  -1.13007772 -12.55591488]
apriltag bezier - count : 499,   delta_t : 48,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.19110703  -1.13196528 -12.54983521]
apriltag bezier - count : 499,   delta_t : 49,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.18843865  -1.14184666 -12.51846886]
apriltag bezier - count : 499,   delta_t : 50,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.18708611  -1.14621079 -12.50560093]
apriltag bezier - count : 499,   delta_t : 51,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.18576503  -1.15057051 -12.49266338]
apriltag bezier - count : 499,   delta_t : 52,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.18512273  -1.15275836 -12.48624039]
apriltag bezier - count : 499,   delta_t : 53,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.18388414  -1.15716195 -12.4728899 ]
apriltag bezier - count : 499,   delta_t : 54,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.1826973   -1.16166222 -12.45901203]
apriltag bezier - count : 499,   delta_t : 55,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.18128681  -1.16631866 -12.44556427]
apriltag bezier - count : 499,   delta_t : 56,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.17986751  -1.17102182 -12.43215084]
apriltag bezier - count : 499,   delta_t : 57,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.1791749   -1.17336214 -12.42537117]
apriltag bezier - count : 499,   delta_t : 58,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.17707253  -1.18059945 -12.40413189]
