self.yaw: -0.4148819148540497
self.home: array('f', [-0.323825865983963, -1.5689815282821655, -0.2320326268672943])
edge case - count_goal : 503,   delta_t_goal : 58,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87766725 -1.46135759 -9.88177299]
edge case - count_goal : 503,   delta_t_goal : 59,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87771839 -1.46150541 -9.87245274]
edge case - count_goal : 503,   delta_t_goal : 60,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87765288 -1.4616338  -9.86314774]
edge case - count_goal : 503,   delta_t_goal : 61,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87742174 -1.46156919 -9.85316944]
edge case - count_goal : 503,   delta_t_goal : 62,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87711382 -1.46154022 -9.84316254]
edge case - count_goal : 503,   delta_t_goal : 63,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87692773 -1.46157908 -9.83808804]
edge case - count_goal : 503,   delta_t_goal : 64,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87707114 -1.46248341 -9.82380676]
edge case - count_goal : 503,   delta_t_goal : 65,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87693965 -1.46283758 -9.81355095]
edge case - count_goal : 503,   delta_t_goal : 66,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87670457 -1.46320355 -9.80329323]
edge case - count_goal : 503,   delta_t_goal : 67,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87638599 -1.46372628 -9.79281902]
edge case - count_goal : 503,   delta_t_goal : 68,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87635922 -1.46409619 -9.78266525]
edge case - count_goal : 503,   delta_t_goal : 69,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87657732 -1.46424747 -9.77215481]
edge case - count_goal : 503,   delta_t_goal : 70,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87666076 -1.46438253 -9.76162052]
edge case - count_goal : 503,   delta_t_goal : 71,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87661618 -1.46464729 -9.75087929]
edge case - count_goal : 503,   delta_t_goal : 72,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87639278 -1.46475732 -9.73993778]
edge case - count_goal : 503,   delta_t_goal : 73,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87610096 -1.46516204 -9.7286005 ]
edge case - count_goal : 503,   delta_t_goal : 74,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87580574 -1.46603179 -9.71757793]
edge case - count_goal : 503,   delta_t_goal : 75,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87536746 -1.46696734 -9.7062006 ]
edge case - count_goal : 503,   delta_t_goal : 76,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.8747263  -1.46766198 -9.69471645]
edge case - count_goal : 503,   delta_t_goal : 77,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87389451 -1.46810126 -9.68254852]
edge case - count_goal : 503,   delta_t_goal : 78,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87293571 -1.46850193 -9.67047501]
edge case - count_goal : 503,   delta_t_goal : 79,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87205839 -1.46888232 -9.65904713]
edge case - count_goal : 503,   delta_t_goal : 80,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.8709752  -1.46903408 -9.64741611]
edge case - count_goal : 503,   delta_t_goal : 81,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.86970896 -1.4689672  -9.63504505]
edge case - count_goal : 503,   delta_t_goal : 82,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.8675667  -1.46891749 -9.61640739]
edge case - count_goal : 503,   delta_t_goal : 83,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.86675972 -1.46935403 -9.61061382]
edge case - count_goal : 503,   delta_t_goal : 84,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.86499071 -1.46995437 -9.59867191]
edge case - count_goal : 503,   delta_t_goal : 85,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.86404639 -1.47015762 -9.59233284]
edge case - count_goal : 503,   delta_t_goal : 86,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.86104709 -1.47065961 -9.57326317]
edge case - count_goal : 503,   delta_t_goal : 87,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.85783112 -1.47111046 -9.55386066]
edge case - count_goal : 503,   delta_t_goal : 88,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.85783112 -1.47111046 -9.55386066]
edge case - count_goal : 503,   delta_t_goal : 89,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.8547948  -1.471066   -9.53428364]
edge case - count_goal : 503,   delta_t_goal : 90,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.85268164 -1.47096241 -9.52108383]
edge case - count_goal : 503,   delta_t_goal : 91,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.85160363 -1.47095263 -9.51429081]
edge case - count_goal : 503,   delta_t_goal : 92,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.84411073 -1.47032022 -9.46564674]
edge case - count_goal : 503,   delta_t_goal : 93,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.84411073 -1.47032022 -9.46564674]
edge case - count_goal : 503,   delta_t_goal : 94,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.84411073 -1.47032022 -9.46564674]
edge case - count_goal : 503,   delta_t_goal : 95,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.84109986 -1.47031271 -9.4444952 ]
edge case - count_goal : 503,   delta_t_goal : 96,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.83788544 -1.4697156  -9.42210102]
edge case - count_goal : 503,   delta_t_goal : 97,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.83603841 -1.46960616 -9.40744305]
edge case - count_goal : 503,   delta_t_goal : 98,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.8344816  -1.46983004 -9.39303112]
edge case - count_goal : 503,   delta_t_goal : 99,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.83191597 -1.46967435 -9.37045193]
edge case - count_goal : 503,   delta_t_goal : 100,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.82829487 -1.46941102 -9.33982468]
edge case - count_goal : 503,   delta_t_goal : 101,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.82829487 -1.46941102 -9.33982468]
edge case - count_goal : 503,   delta_t_goal : 102,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.82104439 -1.47075343 -9.27215672]
edge case - count_goal : 503,   delta_t_goal : 103,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.81909984 -1.47117937 -9.25711727]
edge case - count_goal : 503,   delta_t_goal : 104,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.81379473 -1.47289383 -9.22033119]
edge case - count_goal : 503,   delta_t_goal : 105,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.81379473 -1.47289383 -9.22033119]
edge case - count_goal : 503,   delta_t_goal : 106,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.8090443  -1.47445595 -9.19095802]
edge case - count_goal : 503,   delta_t_goal : 107,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.80797786 -1.47503769 -9.1839323 ]
edge case - count_goal : 503,   delta_t_goal : 108,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.80574059 -1.47631752 -9.16974926]
edge case - count_goal : 503,   delta_t_goal : 109,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.80457497 -1.4770155  -9.16271019]
edge case - count_goal : 503,   delta_t_goal : 110,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.80080914 -1.47869551 -9.14105988]
edge case - count_goal : 503,   delta_t_goal : 111,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.79815787 -1.47967875 -9.12625408]
edge case - count_goal : 503,   delta_t_goal : 112,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.79563743 -1.48116457 -9.11201763]
edge case - count_goal : 503,   delta_t_goal : 113,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.7932272  -1.48297739 -9.09828854]
edge case - count_goal : 503,   delta_t_goal : 114,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.79069072 -1.48448718 -9.08373833]
edge case - count_goal : 503,   delta_t_goal : 115,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.78813612 -1.48586512 -9.06894588]
edge case - count_goal : 503,   delta_t_goal : 116,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.78684682 -1.4865551  -9.06151009]
edge case - count_goal : 503,   delta_t_goal : 117,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.78324986 -1.48868632 -9.03951168]
edge case - count_goal : 503,   delta_t_goal : 118,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.78106713 -1.48989022 -9.02470112]
edge case - count_goal : 503,   delta_t_goal : 119,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.77888077 -1.49094331 -9.0096693 ]
edge case - count_goal : 503,   delta_t_goal : 120,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.77888077 -1.49094331 -9.0096693 ]
edge case - count_goal : 503,   delta_t_goal : 121,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.7755909  -1.4925791  -8.98654461]
edge case - count_goal : 503,   delta_t_goal : 122,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.77255756 -1.49378586 -8.96263885]
edge case - count_goal : 503,   delta_t_goal : 123,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.76853478 -1.49572492 -8.92279625]
edge case - count_goal : 503,   delta_t_goal : 124,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.76853478 -1.49572492 -8.92279625]
edge case - count_goal : 503,   delta_t_goal : 125,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.76474023 -1.49648786 -8.888978  ]
edge case - count_goal : 503,   delta_t_goal : 126,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.76270622 -1.49717319 -8.87267399]
edge case - count_goal : 503,   delta_t_goal : 127,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.76270622 -1.49717319 -8.87267399]
edge case - count_goal : 503,   delta_t_goal : 128,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.75687176 -1.49830651 -8.83059216]
edge case - count_goal : 503,   delta_t_goal : 129,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.75421798 -1.49844933 -8.81325912]
edge case - count_goal : 503,   delta_t_goal : 130,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.75282979 -1.49853909 -8.80453014]
edge case - count_goal : 503,   delta_t_goal : 131,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.74912673 -1.49961281 -8.78024769]
edge case - count_goal : 503,   delta_t_goal : 132,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.74633068 -1.49993098 -8.76333141]
edge case - count_goal : 503,   delta_t_goal : 133,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.74333882 -1.50011349 -8.746521  ]
edge case - count_goal : 503,   delta_t_goal : 134,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.7401697  -1.50033629 -8.72958279]
edge case - count_goal : 503,   delta_t_goal : 135,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.73726028 -1.5010668  -8.71365261]
edge case - count_goal : 503,   delta_t_goal : 136,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.72560471 -1.5020982  -8.65511322]
edge case - count_goal : 503,   delta_t_goal : 137,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.72040993 -1.50209856 -8.62938309]
edge case - count_goal : 503,   delta_t_goal : 138,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.71424711 -1.50274587 -8.59614372]
edge case - count_goal : 503,   delta_t_goal : 139,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.71424711 -1.50274587 -8.59614372]
edge case - count_goal : 503,   delta_t_goal : 140,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.70463723 -1.50206268 -8.54410648]
edge case - count_goal : 503,   delta_t_goal : 141,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.70463723 -1.50206268 -8.54410648]
edge case - count_goal : 503,   delta_t_goal : 142,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.69616657 -1.50040913 -8.49190903]
edge case - count_goal : 503,   delta_t_goal : 143,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.69616657 -1.50040913 -8.49190903]
edge case - count_goal : 503,   delta_t_goal : 144,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.69217712 -1.49904358 -8.46555614]
edge case - count_goal : 503,   delta_t_goal : 145,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.68866247 -1.49715853 -8.43972683]
edge case - count_goal : 503,   delta_t_goal : 146,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.68625081 -1.49566197 -8.42179108]
edge case - count_goal : 503,   delta_t_goal : 147,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.68386114 -1.49425864 -8.40398121]
edge case - count_goal : 503,   delta_t_goal : 148,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.68268394 -1.49364412 -8.39498806]
edge case - count_goal : 503,   delta_t_goal : 149,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.6802932  -1.49234128 -8.37706757]
edge case - count_goal : 503,   delta_t_goal : 150,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.67675769 -1.49070394 -8.351017  ]
edge case - count_goal : 503,   delta_t_goal : 151,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.67675769 -1.49070394 -8.351017  ]
edge case - count_goal : 503,   delta_t_goal : 152,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.67319065 -1.48936808 -8.32491207]
edge case - count_goal : 503,   delta_t_goal : 153,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.66943353 -1.48809278 -8.29858971]
edge case - count_goal : 503,   delta_t_goal : 154,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.66711342 -1.48760903 -8.28155327]
edge case - count_goal : 503,   delta_t_goal : 155,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.6647315  -1.48733854 -8.26454353]
edge case - count_goal : 503,   delta_t_goal : 156,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.66352046 -1.48731697 -8.25600433]
edge case - count_goal : 503,   delta_t_goal : 157,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.65369904 -1.48744845 -8.18789196]
apriltag bezier - count : 405,   delta_t : 1,   xf : [-1.49202815 -3.08029531 -0.32784629],   vehicle_position : [-0.65369904 -1.48744845 -8.18789196]
apriltag bezier - count : 405,   delta_t : 2,   xf : [-1.49202815 -3.08029531 -0.32784629],   vehicle_position : [-0.65015721 -1.48800564 -8.16278648]
apriltag bezier - count : 405,   delta_t : 3,   xf : [-1.49202815 -3.08029531 -0.32784629],   vehicle_position : [-0.64761633 -1.48829114 -8.14550972]
apriltag bezier - count : 405,   delta_t : 4,   xf : [-1.49202815 -3.08029531 -0.32784629],   vehicle_position : [-0.64631379 -1.48851013 -8.13690376]
