self.yaw: 1.8846917152404785
self.home: array('f', [0.8824641108512878, 0.45441657304763794, -1.7762417793273926])
apriltag bezier - count : 741,   delta_t : 21,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.92642814   0.08674049 -11.16420078]
apriltag bezier - count : 741,   delta_t : 22,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.92314541   0.08083805 -11.12347698]
apriltag bezier - count : 741,   delta_t : 23,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.91607165   0.0713829  -11.07444668]
apriltag bezier - count : 728,   delta_t : 24,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.88174832   0.04221469 -10.9653883 ]
apriltag bezier - count : 728,   delta_t : 1,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.87106043   0.03428858 -10.93278503]
apriltag bezier - count : 728,   delta_t : 2,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.8621462    0.02579142 -10.88423061]
apriltag bezier - count : 728,   delta_t : 3,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.86612272   0.02075591 -10.83680916]
apriltag bezier - count : 728,   delta_t : 4,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.87620312   0.01862792 -10.78747177]
apriltag bezier - count : 496,   delta_t : 5,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [  0.89549661   0.0150883  -10.72688866]
apriltag bezier - count : 496,   delta_t : 1,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [  0.89878839   0.01308606 -10.71367645]
apriltag bezier - count : 496,   delta_t : 2,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [  0.89922059   0.0120698  -10.70808887]
apriltag bezier - count : 496,   delta_t : 3,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 8.93349826e-01  2.58037262e-03 -1.06610012e+01]
apriltag bezier - count : 496,   delta_t : 4,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 8.89341712e-01 -1.06045988e-03 -1.06419315e+01]
apriltag bezier - count : 496,   delta_t : 5,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 8.87627482e-01 -2.60277349e-03 -1.06338911e+01]
apriltag bezier - count : 496,   delta_t : 6,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 8.84588003e-01 -5.17766876e-03 -1.06210194e+01]
apriltag bezier - count : 496,   delta_t : 7,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 8.81577790e-01 -7.77752884e-03 -1.06077213e+01]
apriltag bezier - count : 487,   delta_t : 8,   xf : [ 1.69974571  1.23288799 -0.96768248],   vehicle_position : [  0.86817414  -0.01859171 -10.5526619 ]
apriltag bezier - count : 485,   delta_t : 1,   xf : [ 1.69974571  1.23288799 -0.96768248],   vehicle_position : [  0.85873681  -0.02616518 -10.51717663]
apriltag bezier - count : 485,   delta_t : 1,   xf : [ 1.69974571  1.23288799 -0.96768248],   vehicle_position : [  0.84698659  -0.03665755 -10.47044945]
apriltag bezier - count : 481,   delta_t : 2,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [  0.82219243  -0.061221   -10.29362392]
apriltag bezier - count : 481,   delta_t : 1,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [  0.81846237  -0.06601134 -10.23165417]
apriltag bezier - count : 481,   delta_t : 2,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [  0.8170746   -0.06737726 -10.20526218]
apriltag bezier - count : 481,   delta_t : 3,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [  0.81734383  -0.06816855 -10.1716547 ]
apriltag bezier - count : 466,   delta_t : 4,   xf : [ 1.69974571  1.23288799 -0.96768248],   vehicle_position : [  0.8149904   -0.06646432 -10.03714275]
apriltag bezier - count : 460,   delta_t : 1,   xf : [ 1.69974571  1.23288799 -0.96768248],   vehicle_position : [ 0.80673939 -0.06806754 -9.96236324]
apriltag bezier - count : 456,   delta_t : 1,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 0.80390102 -0.06848083 -9.94017029]
apriltag bezier - count : 456,   delta_t : 1,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 0.80283016 -0.06867332 -9.93234539]
apriltag bezier - count : 456,   delta_t : 2,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 0.80210102 -0.06891095 -9.92356682]
apriltag bezier - count : 456,   delta_t : 3,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 0.80165988 -0.069058   -9.91906834]
apriltag bezier - count : 456,   delta_t : 4,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 0.80037451 -0.06948569 -9.90536213]
apriltag bezier - count : 456,   delta_t : 5,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 0.79990834 -0.06964693 -9.90071297]
apriltag bezier - count : 456,   delta_t : 6,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 0.79813904 -0.07034589 -9.88602352]
apriltag bezier - count : 456,   delta_t : 7,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 0.79736781 -0.07112875 -9.87573528]
apriltag bezier - count : 456,   delta_t : 8,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 0.79698592 -0.07150782 -9.87056065]
