self.yaw: -0.581749677658081
self.home: array('f', [0.5321373343467712, -0.35414108633995056, -2.5663838386535645])
apriltag bezier - count : 541,   delta_t : 2,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.05411601 -0.43077725 -9.98445606]
apriltag bezier - count : 541,   delta_t : 3,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.05342011 -0.43231228 -9.97957611]
apriltag bezier - count : 541,   delta_t : 4,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.05200505 -0.43551296 -9.97018147]
apriltag bezier - count : 541,   delta_t : 5,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.0513472  -0.43704513 -9.96565628]
apriltag bezier - count : 541,   delta_t : 6,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.0483659  -0.44386604 -9.94325829]
apriltag bezier - count : 541,   delta_t : 7,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.04665918 -0.44790503 -9.93087292]
apriltag bezier - count : 530,   delta_t : 8,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.04417568 -0.45408618 -9.91035461]
apriltag bezier - count : 530,   delta_t : 1,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.0436501  -0.45524335 -9.90624714]
apriltag bezier - count : 530,   delta_t : 2,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.0419099  -0.45950782 -9.88954926]
apriltag bezier - count : 530,   delta_t : 3,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.04151112 -0.46055436 -9.88534737]
apriltag bezier - count : 530,   delta_t : 4,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.04109798 -0.46165112 -9.88125706]
apriltag bezier - count : 530,   delta_t : 5,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.03933222 -0.46600267 -9.86390686]
