self.yaw: 0.271124005317688
self.home: array('f', [-1.560584545135498, -1.4816746711730957, 0.18644234538078308])
apriltag bezier - count : 403,   delta_t : 53,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98270214 -1.55641782 -9.34129047]
apriltag bezier - count : 403,   delta_t : 54,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98244655 -1.55587077 -9.32928085]
apriltag bezier - count : 403,   delta_t : 55,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98226309 -1.55564749 -9.3233223 ]
apriltag bezier - count : 403,   delta_t : 56,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98145211 -1.55540228 -9.31174278]
apriltag bezier - count : 403,   delta_t : 57,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98024511 -1.55521536 -9.2998991 ]
apriltag bezier - count : 403,   delta_t : 58,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.97841823 -1.55472863 -9.28235912]
apriltag bezier - count : 403,   delta_t : 59,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.97774541 -1.55460835 -9.27663422]
apriltag bezier - count : 403,   delta_t : 60,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.97637832 -1.55424905 -9.26546383]
apriltag bezier - count : 403,   delta_t : 61,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.97463942 -1.55374849 -9.25402355]
apriltag bezier - count : 403,   delta_t : 62,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.97254908 -1.55317533 -9.24271297]
apriltag bezier - count : 403,   delta_t : 63,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.96928179 -1.55234623 -9.22618771]
apriltag bezier - count : 403,   delta_t : 64,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.96821594 -1.55198312 -9.22076225]
